2016-09-03 16:36:02 Budget fixing started.
2016-09-03 16:36:02 Budget reset successfully for 2016-6
2016-09-03 16:36:03 2016-6 tickets: Page 1: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 240, TR Total: 3839.3624, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 241, TR Total: 3958.7820, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 242, TR Total: 3622.5394, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 243, TR Total: 1449.4334, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 244, TR Total: 1177.5328, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 245, TR Total: 1177.5328, SC: 32
2016-09-03 16:36:03 2016-6 tickets: Page 21: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 247, TR Total: 4953.5602, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 248, TR Total: 66368.8620, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 249, TR Total: 9897.1110, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 250, TR Total: 2772.6300, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 251, TR Total: 8150.5620, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 259, TR Total: 17988.7080, SC: 6
2016-09-03 16:36:03 2016-6 budget updated for TR: 260, TR Total: 1996.7962, SC: 6
2016-09-03 16:36:03 2016-6 budget updated for TR: 261, TR Total: 2192.3238, SC: 6
2016-09-03 16:36:03 2016-6 budget updated for TR: 262, TR Total: 295.6764, SC: 6
2016-09-03 16:36:03 2016-6 budget updated for TR: 263, TR Total: 2292.4726, SC: 6
2016-09-03 16:36:03 2016-6 tickets: Page 22: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 264, TR Total: 13953.9816, SC: 6
2016-09-03 16:36:03 2016-6 budget updated for TR: 265, TR Total: 8202.0536, SC: 6
2016-09-03 16:36:03 2016-6 budget updated for TR: 266, TR Total: 8405.3736, SC: 6
2016-09-03 16:36:03 2016-6 budget updated for TR: 267, TR Total: 1469.7218, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 268, TR Total: 7246.1282, SC: 6
2016-09-03 16:36:03 2016-6 budget updated for TR: 269, TR Total: 1900.8132, SC: 6
2016-09-03 16:36:03 2016-6 budget updated for TR: 270, TR Total: 1449.4334, SC: 6
2016-09-03 16:36:03 2016-6 budget updated for TR: 271, TR Total: 1128.9636, SC: 6
2016-09-03 16:36:03 2016-6 budget updated for TR: 273, TR Total: 5549.4101, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 274, TR Total: 5343.3540, SC: 27
2016-09-03 16:36:03 2016-6 tickets: Page 23: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 275, TR Total: 4576.0200, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 280, TR Total: 887.0504, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 281, TR Total: 5645.3268, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 282, TR Total: 86924.2400, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 283, TR Total: 35924.8416, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 286, TR Total: 1951.8204, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 288, TR Total: 5645.3268, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 289, TR Total: 3456.0240, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 290, TR Total: 10157.5666, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 291, TR Total: 25411.6026, SC: 26
2016-09-03 16:36:03 2016-6 tickets: Page 24: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 292, TR Total: 1177.5328, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 293, TR Total: 478.8264, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 294, TR Total: 13995.0824, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 295, TR Total: 4075.8272, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 296, TR Total: 1449.4334, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 297, TR Total: 2327.8713, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 298, TR Total: 3603.1838, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 299, TR Total: 8542.8262, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 300, TR Total: 5645.3268, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 301, TR Total: 50592.1570, SC: 21
2016-09-03 16:36:03 2016-6 tickets: Page 25: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 302, TR Total: 6008.7690, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 303, TR Total: 6008.7690, SC: 21
2016-09-03 16:36:03 2016-6 budget updated for TR: 305, TR Total: 2415.0298, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 307, TR Total: 2959.6578, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 310, TR Total: 1469.7218, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 311, TR Total: 1469.7218, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 312, TR Total: 1951.8204, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 315, TR Total: 2366.3917, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 313, TR Total: 5768.0006, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 314, TR Total: 3425.0190, SC: 27
2016-09-03 16:36:03 2016-6 tickets: Page 26: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 316, TR Total: 3425.0190, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 317, TR Total: 1469.7218, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 322, TR Total: 3660.2648, SC: 8
2016-09-03 16:36:03 2016-6 budget updated for TR: 323, TR Total: 2703.9222, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 324, TR Total: 5645.3268, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 325, TR Total: 20421.1016, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 326, TR Total: 10611.8736, SC: 26
2016-09-03 16:36:03 2016-6 budget updated for TR: 331, TR Total: 35100.5875, SC: 32
2016-09-03 16:36:03 2016-6 budget updated for TR: 336, TR Total: 6887.6680, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 337, TR Total: 1597.8016, SC: 11
2016-09-03 16:36:03 2016-6 tickets: Page 27: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 338, TR Total: 4149.4972, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 339, TR Total: 2512.2742, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 340, TR Total: 2968.6360, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 341, TR Total: 5518.5826, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 342, TR Total: 2512.2742, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 343, TR Total: 4605.8590, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 344, TR Total: 3236.7736, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 345, TR Total: 5264.7126, SC: 2
2016-09-03 16:36:03 2016-6 budget updated for TR: 347, TR Total: 3236.7736, SC: 11
2016-09-03 16:36:03 2016-6 budget updated for TR: 348, TR Total: 1597.8016, SC: 11
2016-09-03 16:36:03 2016-6 tickets: Page 28: 10
